Loan_ID,Loan_Status
LP001015,Yes
LP001022,Yes
LP001031,Yes
LP001035,Yes
LP001051,Yes
LP001054,Yes
LP001055,Yes
LP001056,No
LP001059,Yes
LP001067,Yes
LP001078,Yes
LP001082,Yes
LP001083,Yes
LP001094,No
LP001096,Yes
LP001099,Yes
LP001105,Yes
LP001107,Yes
LP001108,Yes
LP001115,Yes
LP001121,Yes
LP001124,Yes
LP001128,Yes
LP001135,Yes
LP001149,Yes
LP001153,Yes
LP001163,Yes
LP001169,Yes
LP001174,Yes
LP001176,Yes
LP001177,Yes
LP001183,Yes
LP001185,Yes
LP001187,Yes
LP001190,Yes
LP001203,No
LP001208,Yes
LP001210,Yes
LP001211,Yes
LP001219,Yes
LP001220,Yes
LP001221,Yes
LP001226,Yes
LP001230,Yes
LP001231,Yes
LP001232,Yes
LP001237,Yes
LP001242,Yes
LP001268,Yes
LP001270,Yes
LP001284,Yes
LP001287,Yes
LP001291,Yes
LP001298,Yes
LP001312,Yes
LP001313,No
LP001317,Yes
LP001321,Yes
LP001323,No
LP001324,Yes
LP001332,Yes
LP001335,Yes
LP001338,Yes
LP001347,No
LP001348,Yes
LP001351,Yes
LP001352,No
LP001358,No
LP001359,Yes
LP001361,No
LP001366,Yes
LP001368,Yes
LP001375,Yes
LP001380,Yes
LP001386,Yes
LP001400,Yes
LP001407,Yes
LP001413,Yes
LP001415,Yes
LP001419,Yes
LP001420,No
LP001428,Yes
LP001445,No
LP001446,Yes
LP001450,No
LP001452,Yes
LP001455,Yes
LP001466,Yes
LP001471,Yes
LP001472,Yes
LP001475,Yes
LP001483,Yes
LP001486,Yes
LP001490,Yes
LP001496,No
LP001499,Yes
LP001500,Yes
LP001501,Yes
LP001517,Yes
LP001527,Yes
LP001534,Yes
LP001542,No
LP001547,Yes
LP001548,Yes
LP001558,Yes
LP001561,Yes
LP001563,No
LP001567,Yes
LP001568,Yes
LP001573,Yes
LP001584,Yes
LP001587,Yes
LP001589,Yes
LP001591,Yes
LP001599,Yes
LP001601,Yes
LP001607,No
LP001611,No
LP001613,No
LP001622,No
LP001627,Yes
LP001650,Yes
LP001651,Yes
LP001652,No
LP001655,No
LP001660,Yes
LP001662,No
LP001663,Yes
LP001667,Yes
LP001695,Yes
LP001703,Yes
LP001718,Yes
LP001728,Yes
LP001735,Yes
LP001737,Yes
LP001739,Yes
LP001742,Yes
LP001757,Yes
LP001769,Yes
LP001771,Yes
LP001785,No
LP001787,Yes
LP001789,No
LP001791,Yes
LP001794,Yes
LP001797,Yes
LP001815,Yes
LP001817,No
LP001818,Yes
LP001822,Yes
LP001827,Yes
LP001831,Yes
LP001842,Yes
LP001853,No
LP001855,Yes
LP001857,Yes
LP001862,Yes
LP001867,Yes
LP001878,Yes
LP001881,Yes
LP001886,Yes
LP001906,No
LP001909,Yes
LP001911,Yes
LP001921,Yes
LP001923,No
LP001933,No
LP001943,Yes
LP001950,No
LP001959,Yes
LP001961,Yes
LP001973,Yes
LP001975,Yes
LP001979,No
LP001995,No
LP001999,Yes
LP002007,Yes
LP002009,Yes
LP002016,Yes
LP002017,Yes
LP002018,Yes
LP002027,Yes
LP002028,Yes
LP002042,Yes
LP002045,Yes
LP002046,Yes
LP002047,Yes
LP002056,Yes
LP002057,Yes
LP002059,Yes
LP002062,Yes
LP002064,Yes
LP002069,No
LP002070,No
LP002077,Yes
LP002083,Yes
LP002090,No
LP002096,Yes
LP002099,No
LP002102,Yes
LP002105,Yes
LP002107,Yes
LP002111,Yes
LP002117,Yes
LP002118,Yes
LP002123,Yes
LP002125,Yes
LP002148,Yes
LP002152,Yes
LP002165,Yes
LP002167,Yes
LP002168,No
LP002172,Yes
LP002176,Yes
LP002183,Yes
LP002184,Yes
LP002186,Yes
LP002192,Yes
LP002195,Yes
LP002208,Yes
LP002212,Yes
LP002240,Yes
LP002245,Yes
LP002253,Yes
LP002256,No
LP002257,Yes
LP002264,Yes
LP002270,Yes
LP002279,Yes
LP002286,No
LP002294,No
LP002298,Yes
LP002306,Yes
LP002310,Yes
LP002311,Yes
LP002316,No
LP002321,No
LP002325,Yes
LP002326,Yes
LP002329,Yes
LP002333,Yes
LP002339,No
LP002344,Yes
LP002346,No
LP002354,Yes
LP002355,No
LP002358,Yes
LP002360,Yes
LP002375,Yes
LP002376,Yes
LP002383,No
LP002385,Yes
LP002389,Yes
LP002394,Yes
LP002397,Yes
LP002399,No
LP002400,Yes
LP002402,Yes
LP002412,Yes
LP002415,Yes
LP002417,Yes
LP002420,Yes
LP002425,Yes
LP002433,Yes
LP002440,Yes
LP002441,Yes
LP002442,No
LP002445,Yes
LP002450,No
LP002471,Yes
LP002476,Yes
LP002482,Yes
LP002485,Yes
LP002495,No
LP002496,No
LP002523,Yes
LP002542,Yes
LP002550,Yes
LP002551,No
LP002553,Yes
LP002554,Yes
LP002561,Yes
LP002566,Yes
LP002568,Yes
LP002570,Yes
LP002572,Yes
LP002581,Yes
LP002584,Yes
LP002592,Yes
LP002593,Yes
LP002599,Yes
LP002604,Yes
LP002605,Yes
LP002609,No
LP002610,Yes
LP002612,Yes
LP002614,Yes
LP002630,Yes
LP002635,Yes
LP002639,Yes
LP002644,Yes
LP002651,No
LP002654,Yes
LP002657,Yes
LP002711,Yes
LP002712,Yes
LP002721,Yes
LP002735,Yes
LP002744,Yes
LP002745,Yes
LP002746,Yes
LP002747,No
LP002754,Yes
LP002759,Yes
LP002760,Yes
LP002766,Yes
LP002769,Yes
LP002774,No
LP002775,Yes
LP002781,Yes
LP002782,Yes
LP002786,Yes
LP002790,Yes
LP002791,Yes
LP002793,Yes
LP002802,No
LP002803,Yes
LP002805,Yes
LP002806,Yes
LP002816,Yes
LP002823,Yes
LP002825,Yes
LP002826,Yes
LP002843,Yes
LP002849,Yes
LP002850,Yes
LP002853,Yes
LP002856,Yes
LP002857,Yes
LP002858,Yes
LP002860,Yes
LP002867,Yes
LP002869,Yes
LP002870,Yes
LP002876,Yes
LP002878,Yes
LP002879,No
LP002885,Yes
LP002890,Yes
LP002891,Yes
LP002899,Yes
LP002901,No
LP002907,Yes
LP002920,Yes
LP002921,No
LP002932,Yes
LP002935,Yes
LP002952,Yes
LP002954,Yes
LP002962,Yes
LP002965,Yes
LP002969,Yes
LP002971,Yes
LP002975,Yes
LP002980,Yes
LP002986,Yes
LP002989,Yes
